nquest,cliente,loja,a2,a3,c1a,c1b,c1c,c1d,c1e,c1f,c1g,c1h,c1i,c1j,c1k,c1l,c1m,c1n,c1o,c1p,c1q,c1r,c1s,c1t,c1u,c1v,c1w,c1x,c1_glo,c2a,c2b,c2c,c2d,c2e,c2f,c2_glo
380.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,5.0,5.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0
381.0,Outros,Setúbal,Só artigos não-alimentares,Todos os meses,5.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,7.0,6.0,5.0,6.0,6.0,6.0,7.0,,6.0,5.0,7.0,5.0,6.0,6.0,,6.0,5.0,5.0,5.0,5.0
382.0,Retalho alimentar,Setúbal,Ambos,Todos os dias,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,4.0,2.0,6.0,7.0,1.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
383.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,,5.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,,3.0,6.0,6.0,4.0,4.0,6.0,,6.0,6.0,6.0,6.0,6.0
384.0,Retalho alimentar,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,5.0,5.0,5.0,3.0,6.0,6.0,6.0,,5.0,5.0,6.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
385.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,,6.0,6.0,7.0,4.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0
386.0,Retalho não-alimentar,Setúbal,Ambos,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,,6.0,6.0,2.0,3.0,3.0,6.0,,6.0,6.0,1.0,3.0,5.0,6.0,2.0,3.0,6.0,6.0,6.0,5.0
387.0,Restaurante,Setúbal,Só artigos alimentares,Todos os meses,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,4.0,,6.0,,,5.0,,5.0,3.0,4.0,5.0,,,5.0,4.0,1.0,5.0,6.0,,,6.0,6.0,6.0,6.0
388.0,Retalho não-alimentar,Setúbal,Ambos,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
389.0,Retalho alimentar,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,5.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
390.0,Outros,Setúbal,Só artigos não-alimentares,Todos os meses,5.0,7.0,7.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,3.0,6.0,6.0,6.0,4.0,4.0,6.0,7.0,7.0,5.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0
391.0,Restaurante,Setúbal,Só artigos alimentares,Todos os dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392.0,Outros,Setúbal,Só artigos não-alimentares,Todos os meses,6.0,6.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,1.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
393.0,Outros,Setúbal,Ambos,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,3.0,5.0,4.0,4.0,7.0,7.0,6.0,6.0,6.0,2.0,3.0,4.0,6.0,5.0,4.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0
394.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,6.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,6.0,4.0,3.0,6.0,6.0,2.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0
395.0,Cafe/snack,Setúbal,Ambos,Todas as semanas,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
396.0,Retalho alimentar,Setúbal,Só artigos alimentares,Todas as semanas,2.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,2.0,5.0,2.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
397.0,Cafe/snack,Setúbal,Só artigos alimentares,Todos os meses,4.0,6.0,6.0,6.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,6.0,4.0,2.0,4.0,7.0,2.0,5.0,3.0,4.0,6.0,6.0,6.0,6.0,5.0
398.0,Retalho alimentar,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,4.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0
399.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,5.0,6.0,6.0,6.0,3.0,5.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0
400.0,Outros,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,4.0,4.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,6.0,3.0,4.0,,,,,,,
401.0,Retalho alimentar,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,7.0,2.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
402.0,Cafe/snack,Setúbal,Só artigos alimentares,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,4.0,5.0,5.0,4.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0
403.0,Retalho alimentar,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,2.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,,3.0,5.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
404.0,Cafe/snack,Setúbal,Ambos,Todas as semanas,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,6.0,6.0,2.0,6.0,6.0,7.0,,6.0,7.0,6.0,4.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0
405.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,5.0,6.0,6.0,6.0,3.0,3.0,5.0,7.0,,6.0,6.0,7.0,1.0,6.0,7.0,,,7.0,7.0,7.0,7.0
406.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,3.0,2.0,4.0,4.0,5.0,6.0,5.0,4.0,3.0,2.0,4.0,2.0,5.0,7.0,5.0,5.0,5.0,2.0,6.0,5.0,2.0,4.0,5.0
407.0,Outros,Setúbal,Ambos,Todos os meses,7.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,5.0,4.0,6.0,4.0,6.0,5.0,6.0,6.0,,4.0,4.0,6.0,4.0,4.0
408.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,7.0,,5.0,6.0,7.0,6.0,6.0,7.0,,,6.0,6.0,6.0,6.0
409.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,7.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,1.0,6.0,6.0,3.0,6.0,5.0,1.0,6.0,6.0,6.0,,2.0,5.0,7.0,3.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,6.0
410.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,7.0,6.0,6.0,3.0,4.0,6.0,3.0,5.0,4.0,5.0,5.0,5.0,,5.0,6.0,2.0,1.0,4.0,6.0,,6.0,5.0,7.0,4.0,5.0,6.0,,6.0,5.0,5.0,6.0,6.0
411.0,Cafe/snack,Setúbal,Só artigos alimentares,Todos os meses,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,4.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0
412.0,Retalho não-alimentar,Setúbal,Só artigos alimentares,Todos os meses,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,6.0,6.0,,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,,6.0,6.0,4.0,6.0,6.0
413.0,Cafe/snack,Setúbal,Ambos,Todos os meses,6.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,5.0,3.0,,6.0,5.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,7.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
414.0,Retalho não-alimentar,Setúbal,Ambos,Todos os meses,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
415.0,Bar/noite,Setúbal,Só artigos alimentares,Todas as semanas,7.0,7.0,7.0,5.0,6.0,5.0,4.0,,6.0,5.0,,4.0,6.0,5.0,,4.0,,3.0,6.0,4.0,5.0,3.0,6.0,4.0,5.0,4.0,,3.0,4.0,3.0,4.0,3.0
416.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
417.0,Bar/noite,Setúbal,Só artigos alimentares,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,,1.0,6.0,,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0
418.0,Restaurante,Setúbal,Só artigos alimentares,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,,3.0,3.0,4.0,1.0,3.0,3.0,,4.0,4.0,3.0,6.0,4.0
419.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
420.0,Cafe/snack,Setúbal,Só artigos alimentares,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,4.0,5.0,6.0,,3.0,6.0,6.0,6.0,5.0,6.0,,7.0,6.0,6.0,6.0,6.0
421.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,,3.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0
422.0,Cafe/snack,Setúbal,Ambos,Raramente,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,1.0,,4.0,6.0,6.0,4.0,4.0,1.0,,1.0,5.0,4.0,5.0,4.0
423.0,Cafe/snack,Setúbal,Ambos,Todas as semanas,3.0,7.0,7.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,,4.0,4.0,3.0,1.0,5.0,5.0,,,4.0,3.0,4.0,4.0
424.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,3.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,,5.0,5.0,5.0,1.0,4.0,4.0,,,4.0,4.0,4.0,4.0
425.0,Retalho não-alimentar,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,,6.0,6.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0
426.0,Outros,Setúbal,Só artigos alimentares,Todos os meses,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,3.0,,6.0,4.0,4.0,3.0,7.0,6.0,5.0,7.0,4.0,4.0,4.0,6.0,6.0,6.0
427.0,Retalho não-alimentar,Setúbal,Ambos,Todas as semanas,7.0,7.0,6.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,2.0,5.0,5.0,6.0,4.0,4.0,7.0,5.0,1.0,5.0,6.0,4.0,5.0,5.0,7.0,6.0,6.0
428.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,5.0,5.0,5.0,1.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,1.0,5.0,6.0,1.0,6.0,4.0,4.0,6.0,4.0
429.0,Cafe/snack,Setúbal,Só artigos alimentares,Todos os dias,6.0,6.0,5.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,7.0,7.0,1.0,6.0,6.0,5.0,6.0,6.0,6.0,,7.0,6.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
430.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,5.0,6.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,2.0,2.0,6.0,6.0,4.0,6.0,5.0,6.0,3.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0
431.0,Restaurante,Setúbal,Só artigos alimentares,Todos os meses,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,7.0,5.0,5.0,7.0,4.0,7.0,7.0,7.0,7.0,6.0
432.0,Retalho não-alimentar,Setúbal,Ambos,Todos os dias,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
433.0,Bar/noite,Setúbal,Só artigos alimentares,Todas as semanas,5.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,5.0,3.0,5.0,6.0,5.0,6.0,7.0,4.0,5.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0
434.0,Retalho não-alimentar,Setúbal,Ambos,Todos os meses,6.0,6.0,6.0,7.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0
435.0,Outros,Setúbal,Ambos,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,4.0,4.0,6.0,6.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0
436.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,5.0,5.0,6.0,2.0,6.0,6.0,2.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
437.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,,4.0,6.0,6.0,4.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0
438.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,7.0,6.0,6.0,6.0,3.0,6.0,3.0,3.0,6.0,6.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,,4.0,5.0,5.0,2.0,5.0,6.0,,4.0,4.0,4.0,4.0,5.0
439.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,7.0,4.0,7.0,7.0,5.0,6.0,2.0,3.0,5.0,6.0,3.0,3.0,6.0,6.0,6.0,2.0,1.0,2.0,6.0,,6.0,6.0,6.0,6.0,5.0,7.0,,4.0,6.0,6.0,6.0,6.0
440.0,Restaurante,Setúbal,Só artigos alimentares,Todos os dias,7.0,7.0,7.0,6.0,4.0,7.0,7.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,4.0,,1.0,1.0,6.0,1.0,4.0,6.0,5.0,6.0,5.0,4.0,3.0,5.0
441.0,Retalho alimentar,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,,6.0,4.0,4.0,3.0,3.0,4.0,,2.0,6.0,6.0,2.0,5.0,6.0,,5.0,6.0,6.0,6.0,6.0
442.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,2.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
443.0,Outros,Setúbal,Só artigos não-alimentares,Todos os meses,4.0,7.0,7.0,5.0,4.0,6.0,3.0,3.0,,3.0,,4.0,,,4.0,5.0,3.0,3.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,,4.0,5.0,5.0,2.0,4.0
444.0,Restaurante,Setúbal,Só artigos alimentares,Todos os meses,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,,,7.0,7.0,7.0,7.0
445.0,Bar/noite,Setúbal,Só artigos alimentares,Todas as semanas,3.0,7.0,7.0,6.0,6.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,6.0,6.0,7.0,7.0,6.0,6.0,4.0,,7.0,7.0,6.0,1.0,6.0,5.0,,,5.0,3.0,3.0,5.0
446.0,Retalho não-alimentar,Setúbal,Ambos,Todas as semanas,7.0,7.0,7.0,5.0,5.0,6.0,5.0,5.0,3.0,3.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,3.0,5.0,4.0,5.0,4.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0
447.0,Outros,Setúbal,Ambos,Todos os meses,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0
448.0,Retalho não-alimentar,Setúbal,Só artigos não-alimentares,Todos os meses,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0
449.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,4.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,3.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0
450.0,Cafe/snack,Setúbal,Só artigos alimentares,Todas as semanas,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0
451.0,Restaurante,Setúbal,Só artigos alimentares,Todos os meses,6.0,7.0,7.0,7.0,7.0,5.0,4.0,3.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,5.0,7.0,7.0,5.0,5.0,7.0,,5.0,6.0,6.0,7.0,6.0
452.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,2.0,5.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
453.0,Restaurante,Setúbal,Só artigos alimentares,Todos os meses,4.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
454.0,Bar/noite,Setúbal,Só artigos alimentares,Todas as semanas,5.0,6.0,5.0,6.0,3.0,3.0,5.0,4.0,2.0,3.0,5.0,5.0,,5.0,5.0,5.0,3.0,3.0,5.0,,5.0,5.0,5.0,3.0,5.0,6.0,2.0,2.0,3.0,5.0,5.0,5.0
455.0,Hotel,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,6.0,6.0,5.0,7.0,7.0,7.0,,6.0,6.0,7.0,5.0,6.0,7.0,,7.0,6.0,5.0,6.0,7.0
456.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,,3.0,5.0,6.0,5.0,5.0,5.0,,5.0,5.0,5.0,6.0,5.0
457.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,7.0,,5.0,6.0,6.0,3.0,6.0,7.0,3.0,6.0,6.0,6.0,6.0,6.0
458.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,1.0,6.0,5.0,4.0,,2.0,6.0,4.0,4.0,4.0
459.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,4.0,2.0,6.0,6.0,2.0,4.0,7.0,4.0,4.0,6.0,6.0,6.0,5.0
459.0,Retalho não-alimentar,Coimbra,Ambos,Todos os meses,5.0,5.0,7.0,7.0,6.0,6.0,7.0,7.0,4.0,4.0,6.0,6.0,,5.0,6.0,5.0,6.0,6.0,6.0,,,5.0,6.0,1.0,5.0,6.0,,6.0,6.0,6.0,6.0,6.0
460.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,,4.0,6.0,6.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0
461.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,4.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,6.0,6.0,5.0,5.0,6.0,1.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0
462.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,3.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,7.0,7.0,7.0,4.0,6.0,6.0,7.0,7.0,5.0,5.0,4.0,4.0,7.0,7.0,7.0,7.0
463.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,4.0,7.0,7.0,7.0,6.0,7.0,5.0,7.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0
464.0,Restaurante,Setúbal,Só artigos alimentares,Todas as semanas,6.0,7.0,6.0,5.0,5.0,4.0,5.0,4.0,7.0,5.0,7.0,4.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,,5.0,5.0,7.0,6.0,6.0,6.0,,,6.0,6.0,6.0,6.0
465.0,Retalho não-alimentar,Setúbal,Só artigos não-alimentares,Todos os meses,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,,6.0,,6.0,,,6.0,6.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,2.0,5.0,3.0,,3.0,6.0,6.0,6.0,5.0
466.0,Retalho não-alimentar,Setúbal,Só artigos não-alimentares,Todos os meses,6.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,,4.0,,3.0,,,5.0,4.0,5.0,3.0,4.0,,4.0,3.0,3.0,3.0,4.0,5.0,,,5.0,5.0,4.0,5.0
